Phi[deg],Theta[deg],dB(DirTotal)
0,0,-51.8634
5,0,-51.8634
10,0,-51.8634
15,0,-51.8634
20,0,-51.8634
25,0,-51.8634
30,0,-51.8634
35,0,-51.8634
40,0,-51.8634
45,0,-51.8634
50,0,-51.8634
55,0,-51.8634
60,0,-51.8634
65,0,-51.8634
70,0,-51.8634
75,0,-51.8634
80,0,-51.8634
85,0,-51.8634
90,0,-51.8634
95,0,-51.8634
100,0,-51.8634
105,0,-51.8634
110,0,-51.8634
115,0,-51.8634
120,0,-51.8634
125,0,-51.8634
130,0,-51.8634
135,0,-51.8634
140,0,-51.8634
145,0,-51.8634
150,0,-51.8634
155,0,-51.8634
160,0,-51.8634
165,0,-51.8634
170,0,-51.8634
175,0,-51.8634
180,0,-51.8634
185,0,-51.8634
190,0,-51.8634
195,0,-51.8634
200,0,-51.8634
205,0,-51.8634
210,0,-51.8634
215,0,-51.8634
220,0,-51.8634
225,0,-51.8634
230,0,-51.8634
235,0,-51.8634
240,0,-51.8634
245,0,-51.8634
250,0,-51.8634
255,0,-51.8634
260,0,-51.8634
265,0,-51.8634
270,0,-51.8634
275,0,-51.8634
280,0,-51.8634
285,0,-51.8634
290,0,-51.8634
295,0,-51.8634
300,0,-51.8634
305,0,-51.8634
310,0,-51.8634
315,0,-51.8634
320,0,-51.8634
325,0,-51.8634
330,0,-51.8634
335,0,-51.8634
340,0,-51.8634
345,0,-51.8634
350,0,-51.8634
355,0,-51.8634
360,0,-51.8634
0,5,-20.6839
5,5,-20.7001
10,5,-20.7159
15,5,-20.7311
20,5,-20.7455
25,5,-20.7592
30,5,-20.7718
35,5,-20.7835
40,5,-20.794
45,5,-20.8034
50,5,-20.8115
55,5,-20.8183
60,5,-20.8238
65,5,-20.8279
70,5,-20.8306
75,5,-20.8319
80,5,-20.8319
85,5,-20.8305
90,5,-20.8277
95,5,-20.8237
100,5,-20.8183
105,5,-20.8118
110,5,-20.8041
115,5,-20.7953
120,5,-20.7855
125,5,-20.7747
130,5,-20.763
135,5,-20.7505
140,5,-20.7374
145,5,-20.7235
150,5,-20.7092
155,5,-20.6944
160,5,-20.6792
165,5,-20.6638
170,5,-20.6483
175,5,-20.6327
180,5,-20.6172
185,5,-20.6018
190,5,-20.5867
195,5,-20.572
200,5,-20.5578
205,5,-20.5442
210,5,-20.5312
215,5,-20.5191
220,5,-20.5079
225,5,-20.4976
230,5,-20.4885
235,5,-20.4805
240,5,-20.4737
245,5,-20.4683
250,5,-20.4642
255,5,-20.4615
260,5,-20.4603
265,5,-20.4605
270,5,-20.4622
275,5,-20.4654
280,5,-20.4701
285,5,-20.4762
290,5,-20.4836
295,5,-20.4924
300,5,-20.5025
305,5,-20.5138
310,5,-20.5261
315,5,-20.5395
320,5,-20.5537
325,5,-20.5687
330,5,-20.5843
335,5,-20.6005
340,5,-20.617
345,5,-20.6337
350,5,-20.6505
355,5,-20.6673
360,5,-20.6839
0,10,-14.6335
5,10,-14.6414
10,10,-14.6491
15,10,-14.6564
20,10,-14.6633
25,10,-14.6697
30,10,-14.6757
35,10,-14.6811
40,10,-14.6859
45,10,-14.6902
50,10,-14.6938
55,10,-14.6968
60,10,-14.6992
65,10,-14.7009
70,10,-14.7021
75,10,-14.7026
80,10,-14.7025
85,10,-14.7018
90,10,-14.7006
95,10,-14.6988
100,10,-14.6964
105,10,-14.6936
110,10,-14.6903
115,10,-14.6865
120,10,-14.6823
125,10,-14.6776
130,10,-14.6726
135,10,-14.6673
140,10,-14.6616
145,10,-14.6556
150,10,-14.6493
155,10,-14.6428
160,10,-14.6361
165,10,-14.6292
170,10,-14.6221
175,10,-14.615
180,10,-14.6078
185,10,-14.6005
190,10,-14.5933
195,10,-14.5861
200,10,-14.5791
205,10,-14.5722
210,10,-14.5655
215,10,-14.5592
220,10,-14.5532
225,10,-14.5476
230,10,-14.5424
235,10,-14.5378
240,10,-14.5338
245,10,-14.5304
250,10,-14.5277
255,10,-14.5257
260,10,-14.5245
265,10,-14.524
270,10,-14.5244
275,10,-14.5255
280,10,-14.5275
285,10,-14.5302
290,10,-14.5337
295,10,-14.538
300,10,-14.5429
305,10,-14.5485
310,10,-14.5547
315,10,-14.5614
320,10,-14.5685
325,10,-14.5761
330,10,-14.584
335,10,-14.5921
340,10,-14.6003
345,10,-14.6087
350,10,-14.6171
355,10,-14.6254
360,10,-14.6335
0,15,-11.0858
5,15,-11.0909
10,15,-11.0958
15,15,-11.1004
20,15,-11.1048
25,15,-11.1088
30,15,-11.1126
35,15,-11.1159
40,15,-11.1189
45,15,-11.1216
50,15,-11.1238
55,15,-11.1257
60,15,-11.1271
65,15,-11.1282
70,15,-11.1289
75,15,-11.1293
80,15,-11.1293
85,15,-11.129
90,15,-11.1284
95,15,-11.1274
100,15,-11.1262
105,15,-11.1247
110,15,-11.123
115,15,-11.121
120,15,-11.1187
125,15,-11.1162
130,15,-11.1136
135,15,-11.1107
140,15,-11.1076
145,15,-11.1043
150,15,-11.1009
155,15,-11.0973
160,15,-11.0935
165,15,-11.0896
170,15,-11.0856
175,15,-11.0814
180,15,-11.0771
185,15,-11.0728
190,15,-11.0683
195,15,-11.0639
200,15,-11.0594
205,15,-11.0549
210,15,-11.0505
215,15,-11.0461
220,15,-11.0419
225,15,-11.0379
230,15,-11.0341
235,15,-11.0306
240,15,-11.0275
245,15,-11.0247
250,15,-11.0224
255,15,-11.0205
260,15,-11.0192
265,15,-11.0184
270,15,-11.0181
275,15,-11.0184
280,15,-11.0193
285,15,-11.0207
290,15,-11.0227
295,15,-11.0251
300,15,-11.0281
305,15,-11.0316
310,15,-11.0354
315,15,-11.0396
320,15,-11.0442
325,15,-11.049
330,15,-11.054
335,15,-11.0592
340,15,-11.0646
345,15,-11.0699
350,15,-11.0753
355,15,-11.0806
360,15,-11.0858
0,20,-8.56035
5,20,-8.56392
10,20,-8.56736
15,20,-8.57064
20,20,-8.57373
25,20,-8.5766
30,20,-8.57924
35,20,-8.58163
40,20,-8.58376
45,20,-8.58563
50,20,-8.58723
55,20,-8.58857
60,20,-8.58966
65,20,-8.59049
70,20,-8.59109
75,20,-8.59147
80,20,-8.59163
85,20,-8.5916
90,20,-8.59137
95,20,-8.59097
100,20,-8.5904
105,20,-8.58966
110,20,-8.58877
115,20,-8.58774
120,20,-8.58656
125,20,-8.58524
130,20,-8.58379
135,20,-8.58221
140,20,-8.5805
145,20,-8.57868
150,20,-8.57673
155,20,-8.57467
160,20,-8.57249
165,20,-8.57019
170,20,-8.56778
175,20,-8.56524
180,20,-8.56258
185,20,-8.5598
190,20,-8.55691
195,20,-8.5539
200,20,-8.5508
205,20,-8.54763
210,20,-8.5444
215,20,-8.54114
220,20,-8.5379
225,20,-8.53471
230,20,-8.53162
235,20,-8.52868
240,20,-8.52593
245,20,-8.52343
250,20,-8.52122
255,20,-8.51934
260,20,-8.51783
265,20,-8.51672
270,20,-8.51603
275,20,-8.51577
280,20,-8.51594
285,20,-8.51655
290,20,-8.51759
295,20,-8.51903
300,20,-8.52086
305,20,-8.52304
310,20,-8.52556
315,20,-8.52836
320,20,-8.53142
325,20,-8.5347
330,20,-8.53815
335,20,-8.54175
340,20,-8.54543
345,20,-8.54918
350,20,-8.55294
355,20,-8.55667
360,20,-8.56035
0,25,-6.59634
5,25,-6.59898
10,25,-6.60154
15,25,-6.60399
20,25,-6.60631
25,25,-6.60849
30,25,-6.6105
35,25,-6.61234
40,25,-6.61399
45,25,-6.61546
50,25,-6.61674
55,25,-6.61784
60,25,-6.61876
65,25,-6.61952
70,25,-6.62012
75,25,-6.62058
80,25,-6.6209
85,25,-6.62111
90,25,-6.6212
95,25,-6.62118
100,25,-6.62106
105,25,-6.62084
110,25,-6.62052
115,25,-6.62012
120,25,-6.61962
125,25,-6.61903
130,25,-6.61836
135,25,-6.61761
140,25,-6.61677
145,25,-6.61585
150,25,-6.61485
155,25,-6.61377
160,25,-6.61261
165,25,-6.61135
170,25,-6.60998
175,25,-6.60851
180,25,-6.60691
185,25,-6.60518
190,25,-6.60331
195,25,-6.60129
200,25,-6.59912
205,25,-6.59682
210,25,-6.59438
215,25,-6.59185
220,25,-6.58924
225,25,-6.58658
230,25,-6.58393
235,25,-6.58132
240,25,-6.57881
245,25,-6.57644
250,25,-6.57426
255,25,-6.57232
260,25,-6.57064
265,25,-6.56927
270,25,-6.56822
275,25,-6.56752
280,25,-6.56716
285,25,-6.56716
290,25,-6.5675
295,25,-6.56818
300,25,-6.56917
305,25,-6.57046
310,25,-6.57202
315,25,-6.57383
320,25,-6.57585
325,25,-6.57807
330,25,-6.58044
335,25,-6.58295
340,25,-6.58555
345,25,-6.58822
350,25,-6.59093
355,25,-6.59365
360,25,-6.59634
0,30,-4.99145
5,30,-4.99344
10,30,-4.9954
15,30,-4.9973
20,30,-4.99913
25,30,-5.00086
30,30,-5.00249
35,30,-5.004
40,30,-5.00539
45,30,-5.00665
50,30,-5.00778
55,30,-5.00878
60,30,-5.00966
65,30,-5.01043
70,30,-5.01109
75,30,-5.01167
80,30,-5.01216
85,30,-5.01257
90,30,-5.01291
95,30,-5.01319
100,30,-5.0134
105,30,-5.01355
110,30,-5.01364
115,30,-5.01367
120,30,-5.01364
125,30,-5.01356
130,30,-5.01341
135,30,-5.01321
140,30,-5.01296
145,30,-5.01266
150,30,-5.01231
155,30,-5.01191
160,30,-5.01145
165,30,-5.01092
170,30,-5.01031
175,30,-5.00961
180,30,-5.00879
185,30,-5.00783
190,30,-5.00672
195,30,-5.00544
200,30,-5.00399
205,30,-5.00234
210,30,-5.00052
215,30,-4.99854
220,30,-4.99641
225,30,-4.99416
230,30,-4.99184
235,30,-4.98948
240,30,-4.98713
245,30,-4.98485
250,30,-4.98267
255,30,-4.98064
260,30,-4.9788
265,30,-4.97719
270,30,-4.97583
275,30,-4.97474
280,30,-4.97394
285,30,-4.97342
290,30,-4.97318
295,30,-4.97323
300,30,-4.97354
305,30,-4.97411
310,30,-4.97491
315,30,-4.97594
320,30,-4.97716
325,30,-4.97856
330,30,-4.98012
335,30,-4.98181
340,30,-4.98362
345,30,-4.98551
350,30,-4.98746
355,30,-4.98945
360,30,-4.99145
0,35,-3.64038
5,35,-3.6419
10,35,-3.64343
15,35,-3.64496
20,35,-3.64645
25,35,-3.6479
30,35,-3.6493
35,35,-3.65062
40,35,-3.65187
45,35,-3.65304
50,35,-3.65412
55,35,-3.65511
60,35,-3.65603
65,35,-3.65686
70,35,-3.65762
75,35,-3.65832
80,35,-3.65896
85,35,-3.65955
90,35,-3.6601
95,35,-3.6606
100,35,-3.66106
105,35,-3.66147
110,35,-3.66185
115,35,-3.66218
120,35,-3.66246
125,35,-3.66271
130,35,-3.66292
135,35,-3.6631
140,35,-3.66325
